cislo,vyrobce,typ,rok,spm,seriove,stav,wartung_last,wartung_interval
1,Demag,IntElect 100/520-410,2007,0264,7169-1215,porucha,,180
2,Demag,IntElect  150/520-610,2008,0263,7189-1164,bezi,2025-08-10,180
3,Demag,IntElect 160-680,2009,0459,7189-2027,porucha,2025-06-20,180
4,Engel,e-motion 1640/220 T,2022,2087,256603,Störung,2025-12-20,180
5,Engel,e-motion 1640/220 T,2022,2088,256604,běží,,180
6,Engel,e-motion 440/220 T ,2023,2117,256605,běží,,180
7,Engel,e-motion440/220 T,2023,2118,256606,bezi,2026-02-12,180
11,Demag,IntElect 210-500,2010,0614,7199-0043,porucha,,180
12,Stork,S 1500-425,2004,0313,X14775,porucha,,180
14,Engel,e-motion 740/220 T,2015,0889,203909,porucha,,180
17,Engel,e-motion 740/220 T,2019,1278,203909,porucha,,180
18,Engel,e-motion 740/220 T,2019,1278,233566,bezi,2026-02-15,180
19,Demag,EL-EXIS S 300/720-1450,2008,0271,8796-0508,běží,,180
20,Engel,e-motion2440H/170V/380 T combi,2024,2330,265213,běží,,180
21,Demag,EL-EXIS S 350/810-2300,2007,0274,8746-0084,bezi,,180
22,Demag,IntElect 350/760-1700,2011,0637,7294-0006,bezi,,180
35,Demag,EL-EXIS SP MULTI 450/920-3000H/200V,2017,1156,8166-0055,běží,,180
38,Stork,S+ 5500_5650R 65,2012,0678,X56081,běží,,180
58,Demag,IntElect 210/580-1000,2009,0572,7199-0027,běží,,180
36,Demag,EL-EXIS SP multi 420/820-2500/200v,2016,0961,8165-0074,bezi,,180
8,Unbesetzt,0,,0,0,porucha,,
23,Demag,EL-EXIS S 350/810-2300,2012,0687,8746 - 0576,porucha,2026-01-30,180
24,Demag,EL-EXIS SP 250/630-1600,2017,1103,8162 - 0154,bezi,2026-01-30,180
60,BMB,TEST,2026,3101,0131,porucha,,
62,Hess,Hyd,2026,2662,36654,běží,2026-02-03,180
57,Demag,IntElect 100/470-340,2011,0630,7260-0084,bezi,,
56,Engel,IntElect 160/520-680,2011,0657,7280-0129,bezi,,
63,Stork,HYD_Eco,2025,558,8852,bezi,,
64,Beck,6 x JED,2026,6365,998/547,porucha,,
44,BMB,eKW 45PI/2200 Hybrid,2017,1061,7140670,bezi,,
34,Stork,Hydraulik,2000,3377,99991,porucha,,
25,Engel,e-motion 940/280 T,2021,1698,241291,bezi,,
26,Demag,EL-EXIS S 350/810-2300,2007,0295,8746 - 0096,bezi,,
27,Demag,IntElect 280/685-1700,2011,0663,7292 - 0015,bezi,,
28,Demag,IntElact 350/760-1700,2011,0631,7294 - 0005,bezi,,
29,Demag,EL-EXIS SP 300/720-2500,2020,1570,8163 - 0109,bezi,,
31,Engel,e-motion 740H/50V/280 T combi,2021,1707,241807,bezi,,
33,Demag,IntElect 450/870-3000,2011,0649,7296 - 0007,bezi,,
37,Demag,EL-EXIS SP multi 420/820-2500h/200v,2018,0039,8165-0094,bezi,,
39,Demag,EL-EXIS S 550/1020-3600,2009,0571,8626-0063,bezi,,
40,Stork,SX 8000-12500,1994,0307,X80850,bezi,,
41,Demag,IntElect 450/870-3000,2012,0666,7296-0012,bezi,,
42,Stork,SX 18000-19000,1992,0311,82500,porucha,,
45,Engel,e-motion 1065H/170V/500 T combi,2024,2449,266464,bezi,,
50,Engel,e-motion 440/220 T,2018,1195,221597,bezi,,
51,Engel,e-motion 940/220 T,2017,1108,218847,bezi,,
52,Engel,e-motion 440/220 T,2019,1297,233567,bezi,,
53,Demag,EL-EXIS SP 250/630-920,2017,1104,8162-0155,bezi,,
54,Demag,IntElect 160/520-680,2011,0656,7280-0128,bezi,,
55,Demag,IntElect 210/580-500,2010,0613,7199-0042,porucha,,
